,battery,humidity,pressure,rf_counter,rf_total,temperature,direction,speed,f_cnt,rssi,snr,value,time
121,34,84.5,1009.3,0,4.3,11,102.8,0.1,129,-108,3,1,2025-03-27T21:28:54.199387075Z
122,34,86,1009.3,0,4.33,11,172.2,0.1,130,-105,4.5,1,2025-03-27T21:33:54.238954425Z
123,34,86,1009.3,0,4.34,10.9,169.9,0.2,131,-105,4.8,1,2025-03-27T21:38:54.226330466Z
124,34,85,1009.2,0,4.34,10.9,165.5,0.5,132,-101,-0.5,1,2025-03-27T21:43:54.217879152Z
125,34,86,1009.2,0,4.34,10.9,125.6,0.4,133,-104,4.2,1,2025-03-27T21:48:54.181383648Z
126,34,86,1009.3,0,4.34,10.9,296,0.4,134,-102,7,1,2025-03-27T21:53:54.178743606Z
127,34,85,1009.2,0,4.35,10.9,182.4,1.7,135,-101,-1.2,1,2025-03-27T21:58:54.166652296Z
128,34,85,1009.1,0,4.35,11,197.1,1.4,136,-106,5,1,2025-03-27T22:03:54.158213446Z
129,34,84.5,1009.1,0,4.35,11,172.8,2,137,-108,1.2,1,2025-03-27T22:08:54.148942896Z
130,33,85,1009.1,0,4.35,11,166.8,1.8,138,-104,6,1,2025-03-27T22:13:54.167165244Z
131,33,86,1009.1,0,4.35,11,158.5,1.6,139,-106,4.5,1,2025-03-27T22:18:54.191855813Z
132,33,85,1009,0,4.35,11,171.1,1.7,140,-101,-1.2,1,2025-03-27T22:23:54.153943906Z
133,33,83.5,1009,0,4.35,11.1,155.7,2,141,-104,3.8,1,2025-03-27T22:28:54.146381336Z
134,33,83.5,1009.1,0,4.35,11.2,148.5,1.6,142,-111,-7,1,2025-03-27T22:33:54.161602988Z
135,33,84.5,1009,0,4.35,11.2,147.7,1.9,143,-104,6,1,2025-03-27T22:38:54.122955156Z
136,33,85.5,1008.9,0,4.35,11.1,146.1,1.2,144,-108,-2.2,1,2025-03-27T22:43:54.163247384Z
137,33,83.5,1009,0,4.35,11.2,140.8,2.2,145,-112,-1.2,1,2025-03-27T22:48:54.114535048Z
138,33,83.5,1008.9,0,4.35,11.2,124.4,1.2,146,-106,3,1,2025-03-27T22:53:54.104624768Z
139,33,84,1008.8,0,4.35,11.2,120,1.2,147,-106,4.5,1,2025-03-27T22:58:54.085471686Z
140,33,83.5,1008.8,0,4.35,11.1,101.4,1.1,148,-104,3.8,1,2025-03-27T23:03:54.079058387Z
141,33,83,1008.8,0,4.35,11.1,117.1,1.2,149,-104,2,1,2025-03-27T23:08:54.104134696Z
142,33,85,1008.8,0,4.35,11,132.9,0.7,150,-111,-2.8,1,2025-03-27T23:13:54.102108591Z
143,32,84.5,1008.7,0,4.35,11.1,122.4,1.1,151,-103,5.5,1,2025-03-27T23:18:54.09149182Z
144,32,84.5,1008.8,0,4.37,11.1,143.7,1.2,152,-107,5.5,1,2025-03-27T23:23:54.057665561Z
145,32,84.5,1008.7,0,4.37,11,144.8,1.6,153,-111,-6.8,1,2025-03-27T23:28:54.074331582Z
146,32,84.5,1008.7,0,4.37,11,149.9,1.9,154,-105,4.2,1,2025-03-27T23:33:54.038837802Z
147,32,85,1008.6,0,4.37,11.1,150.5,1.6,155,-108,2,1,2025-03-27T23:38:54.034630957Z
148,32,84.5,1008.6,0,4.37,11,127.3,1.8,156,-105,3,1,2025-03-27T23:43:54.039271018Z
149,32,85.5,1008.6,0,4.37,11,142.7,2.2,157,-106,3.8,1,2025-03-27T23:48:54.088445718Z
150,32,86,1008.5,0,4.37,10.9,147.7,2.1,158,-112,-7,1,2025-03-27T23:53:54.014427064Z
151,32,87,1008.4,0,4.37,10.9,170.4,1.6,159,-101,-1.5,1,2025-03-27T23:58:54.056874803Z
152,32,87.5,1008.4,0,4.38,10.8,160.8,1.8,160,-112,-1.2,1,2025-03-28T00:03:54.002575927Z
153,32,88,1008.3,0,4.4,10.8,153.2,2,161,-110,-1.5,1,2025-03-28T00:08:53.996912012Z
154,32,88,1008.3,0,4.4,10.7,151.3,1.6,162,-107,4.2,1,2025-03-28T00:13:54.003511997Z
155,31,88,1008.3,0,4.4,10.6,166.2,1.4,163,-106,4.5,1,2025-03-28T00:18:56.191196981Z
156,31,88.5,1008.2,0,4.4,10.6,165.3,1.6,164,-101,-1.2,1,2025-03-28T00:23:53.990020153Z
157,31,88,1008,0,4.4,10.6,132.1,1.4,165,-104,4.8,1,2025-03-28T00:28:54.009711821Z
158,31,88.5,1007.9,0,4.41,10.5,106.6,0.9,166,-102,5,1,2025-03-28T00:33:53.970233281Z
159,31,89.5,1008,0,4.41,10.5,92.6,0.8,167,-102,6.2,1,2025-03-28T00:38:53.966118045Z
160,31,88.5,1007.9,0,4.41,10.5,114.9,1.1,168,-109,1.2,1,2025-03-28T00:43:53.980878843Z
161,31,89,1007.9,0,4.41,10.5,97.4,0.1,169,-109,1.5,1,2025-03-28T00:48:53.976090843Z
162,31,89.5,1007.9,0,4.41,10.4,149.7,1.3,170,-106,4,1,2025-03-28T00:53:53.984711913Z
163,31,89.5,1007.9,0,4.41,10.5,152,1.6,171,-106,4.5,1,2025-03-28T00:58:53.950025349Z
164,31,90.5,1007.8,0,4.41,10.4,159.3,1.4,172,-101,-0.8,1,2025-03-28T01:03:53.935220811Z
165,31,89.5,1007.6,0,4.41,10.4,136.9,1.7,173,-104,2.8,1,2025-03-28T01:08:53.921358945Z
166,31,88.5,1007.6,0,4.41,10.5,137.6,1.8,174,-103,5.8,1,2025-03-28T01:13:53.937371587Z
167,30,89,1007.5,0,4.41,10.5,143.2,1.7,175,-102,6.8,1,2025-03-28T01:18:53.949524731Z
168,30,89.5,1007.5,0,4.41,10.5,151.9,1.7,176,-108,3,1,2025-03-28T01:23:53.913060841Z
169,30,90.5,1007.5,0,4.41,10.4,173.3,1.5,177,-110,-2.8,1,2025-03-28T01:28:53.899933637Z
170,30,90,1007.4,0,4.41,10.4,134.3,2,178,-105,4.2,1,2025-03-28T01:33:53.890560915Z
171,30,89.5,1007.3,0,4.41,10.4,140.1,1.8,179,-106,4,1,2025-03-28T01:38:53.877370892Z
172,30,89.5,1007.2,0,4.41,10.4,148.5,1.7,180,-101,-1,1,2025-03-28T01:43:53.88435274Z
173,30,89,1007.3,0,4.41,10.5,130.1,1.3,181,-99,-6.2,1,2025-03-28T01:48:53.88523246Z
174,30,89,1007.2,0,4.41,10.5,138.8,2.1,182,-103,6.5,1,2025-03-28T01:53:53.86163216Z
175,30,88,1006.9,0,4.41,10.5,126.4,2.5,183,-102,5.5,1,2025-03-28T01:58:53.915065803Z
176,30,87.5,1006.9,0,4.41,10.6,140.5,2.2,184,-111,-3,1,2025-03-28T02:03:53.858982805Z
177,30,87.5,1006.8,0,4.41,10.6,137.2,2,185,-112,-6,1,2025-03-28T02:08:53.836850612Z
178,30,87.5,1006.8,0,4.41,10.6,134.9,1.9,186,-108,3.5,1,2025-03-28T02:13:53.835351905Z
179,30,87.5,1006.8,0,4.41,10.6,139.7,1.9,187,-107,3.8,1,2025-03-28T02:18:53.847005876Z
180,30,87.5,1006.7,0,4.41,10.6,138.4,2.2,188,-105,3,1,2025-03-28T02:23:53.845133545Z
181,30,89,1006.6,0,4.41,10.5,156.9,2,189,-105,5.5,1,2025-03-28T02:28:53.82515587Z
182,30,88.5,1006.7,0,4.41,10.5,151.4,1.8,190,-114,-4.8,1,2025-03-28T02:33:53.812148578Z
183,30,88,1006.6,0,4.41,10.4,140,2.1,191,-103,6.2,1,2025-03-28T02:38:53.863565322Z
184,30,89,1006.6,0,4.41,10.4,131.9,1.3,192,-110,-0.8,1,2025-03-28T02:43:53.80252366Z
185,30,89.5,1006.5,0,4.41,10.3,143.4,1.7,193,-112,-7.5,1,2025-03-28T02:48:53.813973894Z
186,30,89,1006.4,0,4.41,10.4,122.9,1.5,194,-107,3.8,1,2025-03-28T02:53:53.783657607Z
187,30,89,1006.3,0,4.41,10.4,128.8,1.6,195,-108,1.2,1,2025-03-28T02:58:53.818250214Z
188,30,90,1006.4,0,4.41,10.3,139.6,1.8,196,-106,2,1,2025-03-28T03:03:53.880454924Z
189,30,90.5,1006.3,0,4.41,10.3,164.5,1.7,197,-105,3,1,2025-03-28T03:08:53.77522804Z
190,30,90.5,1006.3,0,4.41,10.2,147.4,1.8,198,-113,-4.5,1,2025-03-28T03:13:53.762725325Z
191,30,91.5,1006.3,0,4.41,10.2,144.3,2,199,-103,6,1,2025-03-28T03:18:53.783537234Z
192,29,92,1006.2,0,4.41,10.1,139.7,2.6,200,-107,2.8,1,2025-03-28T03:23:53.807073249Z
193,29,91.5,1006.1,0,4.41,10.1,125.4,1.3,201,-110,-2,1,2025-03-28T03:28:53.748479854Z
194,29,92,1006.1,0,4.41,10.1,130.5,1.9,202,-107,4,1,2025-03-28T03:33:53.733319566Z
195,29,92,1006,0,4.41,10.1,146.6,1.1,203,-108,3.8,1,2025-03-28T03:38:53.739296837Z
196,29,92,1006.1,0,4.41,10,132.9,1.4,204,-105,1.2,1,2025-03-28T03:43:53.739273852Z
197,29,92.5,1006,0,4.41,10,127.1,1.4,205,-107,4.2,1,2025-03-28T03:48:53.740160083Z
198,29,92.5,1006.1,0,4.41,10,124.1,0.8,206,-103,4.5,1,2025-03-28T03:53:54.168335466Z
199,29,92.5,1006.1,0,4.41,10,117.1,1.3,207,-98,-5.2,1,2025-03-28T03:58:53.707577845Z
200,29,93,1006,0,4.41,9.9,139.1,1.2,208,-105,-8.5,1,2025-03-28T04:03:53.696592316Z
201,29,93.5,1005.9,0,4.41,9.9,137.3,1.1,209,-112,-7.2,1,2025-03-28T04:08:53.777661034Z
202,29,93.5,1005.8,0,4.41,9.8,154.7,0.8,210,-107,3.2,1,2025-03-28T04:13:53.700193696Z
203,29,93,1005.8,0,4.41,9.8,132.9,1.3,211,-108,4.5,1,2025-03-28T04:18:53.700957638Z
204,29,92,1005.8,0,4.41,10,145.5,1.5,212,-105,1.8,1,2025-03-28T04:23:53.699066772Z
205,29,92,1005.7,0,4.41,10,127.3,1.8,213,-107,3.5,1,2025-03-28T04:28:53.675156857Z
206,29,91.5,1005.8,0,4.41,10,141,1.8,214,-103,6,1,2025-03-28T04:33:53.662903136Z
207,29,91.5,1005.7,0,4.41,10,136.6,1.6,215,-102,-1.5,1,2025-03-28T04:38:53.705428184Z
208,29,92,1005.7,0,4.41,10,162.4,1.1,216,-108,3.2,1,2025-03-28T04:43:53.657060765Z
209,29,92,1005.8,0,4.41,10,157.8,1.1,217,-110,-1,1,2025-03-28T04:48:53.71955906Z
210,29,92.5,1005.9,0,4.41,10,185.8,0.8,218,-107,4.2,1,2025-03-28T04:53:53.644269798Z
211,29,93,1005.9,0,4.41,9.9,203.3,1.4,219,-108,5,1,2025-03-28T04:58:53.662029912Z
212,29,93,1005.9,0,4.41,9.9,180.7,1.1,220,-102,-1.8,1,2025-03-28T05:03:53.638218004Z
213,29,93,1005.8,0,4.41,9.9,172.9,1.1,221,-107,2.8,1,2025-03-28T05:08:53.62919926Z
214,29,92.5,1005.8,0,4.41,9.9,187.7,1.1,222,-112,-8.5,1,2025-03-28T05:13:53.700086442Z
215,29,93,1005.8,0,4.41,9.9,178.6,1.2,223,-102,-2.2,1,2025-03-28T05:18:53.666363447Z
216,29,93,1005.8,0,4.41,9.9,178.6,1.8,224,-108,4.2,1,2025-03-28T05:23:53.606178947Z
217,28,92.5,1005.8,0,4.41,9.9,174.5,1.7,225,-112,-8.5,1,2025-03-28T05:28:53.625977218Z
218,28,92.5,1005.8,0,4.41,9.9,161.9,1.5,226,-107,3,1,2025-03-28T05:33:53.601204336Z
219,28,91.5,1005.7,0,4.41,10,176.2,1.7,227,-109,5.2,1,2025-03-28T05:38:53.590229565Z
220,28,92,1005.7,0,4.41,10.1,174.2,1.2,228,-105,-0.5,1,2025-03-28T05:43:53.58923996Z
221,28,92,1005.7,0,4.41,10,172.1,1.5,229,-106,3.8,1,2025-03-28T05:48:53.590536352Z
222,28,92.5,1005.7,0,4.41,10.1,177.3,1.4,230,-104,6.5,1,2025-03-28T05:53:53.564571435Z
223,28,94,1005.8,0,4.41,10,174.2,1.7,231,-98,-6.2,1,2025-03-28T05:58:53.561272064Z
224,28,93.5,1005.6,0,4.41,10.1,169.6,1.5,232,-111,-1.2,1,2025-03-28T06:03:53.547637352Z
225,28,93.5,1005.6,0,4.41,10.1,172.3,1.8,233,-108,-9.2,1,2025-03-28T06:08:53.545548601Z
226,28,94,1005.6,0,4.41,10.2,182.1,1.5,234,-108,3.8,1,2025-03-28T06:13:53.548284878Z
227,28,93,1005.6,0,4.41,10.4,190.9,1.7,236,-105,2,1,2025-03-28T06:23:53.528178141Z
228,29,93,1005.5,0,4.41,10.5,194.5,1.9,237,-105,2.8,1,2025-03-28T06:28:53.551140335Z
229,29,91.5,1005.6,0,4.41,10.5,182.1,2,238,-104,4.2,1,2025-03-28T06:33:53.519885779Z
